id_head,type,id_tail
385,file contains function,8506
3652,references,3598
224,file contains function,11153
3556,references,5836
2107,references,7112
826,file contains function,2742
6746,references,2752
4063,references,1414
4891,references,5836
4769,references,5825
4705,class contains method,4751
3769,references,2798
2813,class contains method,2839
4495,class contains method,4505
8620,class contains method,8623
860,references,7112
4972,references,5372
8844,references,3596
9933,class contains method,9941
7371,references,1728
6820,references,5927
11154,class contains method,11212
4029,references,1414
4211,class contains method,4216
8385,class contains method,8387
204,file contains class,11581
6150,references,8162
10708,class contains method,10709
3627,references,5836
9563,references,1555
10590,references,853
7354,references,1728
9579,class contains method,9611
8641,class contains method,8702
5919,references,5847
2169,references,1793
10943,references,2542
2084,class contains method,2087
22,file contains class,9669
9758,references,6421
365,file contains class,10408
258,file contains function,10458
365,file contains function,10365
700,file contains function,1315
432,file contains function,5897
10763,class contains method,10764
5264,references,3431
8228,references,5834
6909,references,6894
3527,class contains method,3539
782,file contains function,1438
140,contains file,458
5104,class contains method,5151
10688,references,2742
668,file contains function,3295
5333,references,3599
5990,references,5847
124,contains file,125
6512,references,5834
3702,class contains method,3738
9789,class contains method,9796
5530,class contains method,5710
9162,references,9151
3617,references,3599
2669,class contains method,2670
112,contains file,709
2305,class contains method,2320
323,file contains function,1084
1001,references,1002
685,file contains class,7986
7196,class contains method,7201
0,contains file,376
684,file contains function,921
3778,class contains method,3787
7214,references,1555
2394,class contains method,2402
794,file contains class,3083
110,contains folder,654
5822,references,3596
151,contains folder,364
335,file contains class,10476
834,file contains class,3671
9270,class contains method,9271
573,contains file,676
5910,references,5869
6654,references,6262
1410,references,1160
5372,class contains method,5375
11436,references,1530
3592,references,3599
5039,references,5039
10748,class contains method,10760
8563,class contains method,8562
236,file contains function,6328
4611,references,4600
5172,references,10046
10949,references,10948
4532,class contains method,4537
7593,class contains method,7590
3493,references,3601
1951,class contains method,1977
557,file contains function,3426
6276,class contains method,6284
11252,class contains method,11272
8989,references,3596
5881,references,5864
1601,class contains method,1659
90,file contains function,8415
3185,references,3407
11310,class contains method,11311
7065,references,10275
7581,class contains method,7585
3125,references,8507
11119,class contains method,11122
11391,class contains method,11406
8624,references,5285
163,file contains function,3471
10180,class contains method,10182
8641,class contains method,8649
5455,class contains method,5487
5009,class contains method,5011
6606,references,1462
4876,class contains method,4882
3447,references,3599
1044,references,1037
325,file contains function,9135
5043,references,3599
1909,references,1763
7117,references,1553
9745,class contains method,9757
8102,class contains method,8106
432,file contains function,5844
1828,class contains method,1844
7382,references,1908
6164,references,6585
4058,class contains method,4069
3430,references,3599
1935,class contains method,1936
76,contains file,660
259,file contains function,10580
4423,class contains method,4429
75,file contains class,9451
474,file contains function,1033
11484,references,9717
4113,references,5836
1964,references,1818
2479,references,2304
8309,references,1530
3345,references,10052
8889,references,853
3601,references,3601
5530,class contains method,5657
9310,class contains method,9322
4139,class contains method,4140
4847,class contains method,4856
3328,references,10052
3808,references,10336
252,file contains function,1357
8872,references,853
6576,references,6657
3410,references,3409
7235,references,5836
1413,references,3920
7441,references,1553
5104,class contains method,5232
9861,references,1462
743,file contains function,8889
2556,references,2555
5983,class contains method,6017
3416,references,10052
932,class contains method,933
305,file contains function,10045
4256,class contains method,4276
9972,references,8715
8444,class contains method,8463
10914,class contains method,10930
1266,references,1250
5338,class contains method,5346
3055,class contains method,3056
3307,references,3600
2,contains folder,37
1511,class contains method,1514
123,contains folder,562
9669,class contains method,9679
384,file contains function,6820
70,file contains function,5086
9263,class contains method,9265
7595,class contains method,7615
7172,references,5834
389,file contains function,8535
8646,references,2804
1899,references,3599
382,contains file,383
668,file contains function,3271
7729,class contains method,7754
421,file contains class,2996
529,file contains class,9925
7178,references,10054
1601,class contains method,1606
7867,class contains method,7878
1784,references,1787
222,file contains function,6542
10937,class contains method,10938
4107,references,4109
750,file contains function,1731
3203,references,8632
673,file contains function,8733
7453,class contains method,7455
9158,class contains method,9163
151,contains file,317
3308,references,3206
11023,references,5931
209,contains file,581
349,file contains function,6917
2414,references,10049
831,file contains function,10312
445,file contains class,9825
8952,references,8507
833,file contains function,7371
4753,class contains method,4768
10992,class contains method,10993
636,file contains function,10482
6098,references,2542
